,Driver,Year,Circuit,Compounds,StintLengths,Team,StartingPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
59,ALB,2022,Circuit of the Americas,"['MEDIUM', 'MEDIUM', 'HARD']","[9, 9, 38]",Williams,8.0,29.28529411764706,49.62352941176471,991.1994117647056,0.0,35.523529411764706,107.73529411764706,5.487058823529411
60,ALB,2023,Yas Marina Circuit,"['MEDIUM', 'HARD', 'HARD']","[16, 27, 15]",Williams,14.0,26.96282051282052,51.0,1014.9275641025638,0.0,33.46089743589744,284.93589743589746,1.794871794871795
61,ALB,2023,Albert Park Circuit,['MEDIUM'],[7],Williams,8.0,17.449549549549552,54.15765765765766,1018.3666666666666,0.0,30.13963963963964,138.07207207207207,1.1270270270270266
62,ALB,2023,,"['MEDIUM', 'MEDIUM', 'HARD', 'HARD']","[2, 12, 27, 30]",Williams,10.0,22.398039215686275,52.04575163398693,934.0156862745096,0.0196078431372549,32.05424836601307,124.56209150326798,1.0973856209150326
63,ALB,2023,Baku City Circuit,"['MEDIUM', 'HARD']","[7, 44]",Williams,12.0,24.860625,49.225,1008.64625,0.0,41.21,125.6875,1.083125
64,ALB,2023,Bahrain International Circuit - 57 laps,"['SOFT', 'SOFT', 'HARD', 'SOFT']","[11, 15, 14, 17]",Williams,15.0,27.43167701863354,21.496894409937887,1016.8639751552794,0.0,31.01180124223602,177.1304347826087,0.6832298136645961
65,ALB,2023,Circuit de Spa-Francorchamps,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']","[7, 16, 10, 11]",Williams,15.0,17.873333333333335,61.92666666666667,966.6273333333332,0.0733333333333333,28.24066666666667,130.04666666666665,1.594666666666667
66,ALB,2023,Silverstone Circuit,"['MEDIUM', 'SOFT']","[32, 20]",Williams,8.0,21.473509933774835,56.18543046357616,1001.2258278145694,0.0,30.94105960264901,205.39735099337747,3.023841059602649
67,ALB,2023,Circuit Gilles Villeneuve,"['MEDIUM', 'HARD']","[12, 58]",Williams,9.0,18.53024691358025,63.901234567901234,1011.5524691358024,0.0,30.59320987654321,314.1296296296296,1.941975308641975
68,ALB,2023,Circuit Zandvoort,"['SOFT', 'MEDIUM', 'INTERMEDIATE', 'INTERMEDIATE', 'INTERMEDIATE']","[44, 17, 2, 1, 8]",Williams,4.0,16.791866028708135,70.77511961722487,1007.8244019138756,0.2296650717703349,24.94114832535885,173.23923444976077,2.8215311004784693
69,ALB,2023,Hungaroring Circuit,"['MEDIUM', 'HARD', 'HARD']","[8, 23, 38]",Williams,16.0,28.808536585365857,32.80487804878049,988.4018292682924,0.0,48.579268292682926,174.53658536585365,1.4408536585365852
70,ALB,2023,Autodromo Nazionale Monza,"['MEDIUM', 'HARD']","[15, 37]",Williams,6.0,29.330128205128204,42.32051282051282,1000.5615384615384,0.0,42.928205128205136,179.26923076923077,1.13974358974359
71,ALB,2023,Suzuka Circuit,"['MEDIUM', 'MEDIUM', 'SOFT']","[1, 12, 13]",Williams,13.0,27.28860759493671,42.31645569620253,1012.9335443037972,0.0,42.070253164556966,121.50632911392404,1.8297468354430384
72,ALB,2023,Las Vegas Strip Circuit,"['MEDIUM', 'HARD']","[16, 34]",Williams,5.0,18.05,47.36111111111112,939.7814814814813,0.0,17.99444444444444,220.33333333333331,2.3009259259259256
73,ALB,2023,Autódromo Hermanos Rodríguez,"['HARD', 'MEDIUM', 'MEDIUM']","[33, 1, 37]",Williams,14.0,25.547368421052628,23.55263157894737,779.5205263157894,0.0,45.63947368421053,247.68421052631575,1.4900000000000002
74,ALB,2023,Miami International Autodrome,"['MEDIUM', 'HARD']","[22, 35]",Williams,11.0,27.11741935483871,59.42580645161291,1018.3787096774192,0.0,36.68903225806452,135.54193548387096,3.970322580645162
75,ALB,2023,Circuit de Monaco,"['MEDIUM', 'HARD', 'INTERMEDIATE']","[18, 34, 25]",Williams,13.0,25.06590909090909,45.86363636363637,1013.3596590909092,0.1477272727272727,39.25568181818182,143.01136363636363,1.005681818181818
76,ALB,2023,Lusail International Circuit,"['MEDIUM', 'MEDIUM', 'HARD', 'HARD']","[18, 13, 13, 13]",Williams,13.0,31.46289308176101,73.15723270440252,1009.7748427672954,0.0,36.93207547169812,203.58490566037736,0.889937106918239
77,ALB,2023,Jeddah Corniche Circuit,"['MEDIUM', 'HARD']","[17, 10]",Williams,17.0,26.09189189189189,57.79054054054054,1010.9297297297296,0.0,31.79256756756757,271.1621621621622,1.772297297297297
78,ALB,2023,Marina Bay Street Circuit,"['MEDIUM', 'HARD', 'MEDIUM']","[20, 23, 19]",Williams,14.0,29.844318181818185,72.0284090909091,1008.9784090909092,0.0,36.42215909090909,169.2840909090909,1.4159090909090908
79,ALB,2023,Circuit de Barcelona-Catalunya,"['SOFT', 'HARD', 'MEDIUM']","[16, 21, 28]",Williams,18.0,22.674025974025977,63.07792207792208,1001.0909090909092,0.0,33.838961038961045,132.64285714285714,1.8694805194805195
80,ALB,2023,,['SOFT'],[1],Williams,13.0,20.460109289617485,58.17486338797814,927.9005464480872,0.0054644808743169,46.77595628415301,184.1584699453552,1.3092896174863389
81,ALB,2023,Circuit of the Americas,"['MEDIUM', 'HARD', 'MEDIUM']","[10, 19, 27]",Williams,15.0,29.96011904761904,41.910714285714285,993.7309523809524,0.0,40.62857142857143,107.89285714285714,3.314285714285714
82,ALB,2024,Yas Marina Circuit,"['MEDIUM', 'HARD']","[12, 45]",Williams,18.0,26.76824324324324,51.44594594594594,1017.4263513513514,0.0,31.80540540540541,137.03378378378378,1.9006756756756755
83,ALB,2024,Albert Park Circuit,"['MEDIUM', 'HARD', 'HARD']","[6, 21, 30]",Williams,12.0,20.62222222222222,44.451388888888886,1020.6013888888888,0.0,38.40208333333333,154.78472222222223,0.9534722222222224
